Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8900640246373288,0.88613743132415,0.89663229133097,0.8913539706059028
Naive Bayes,0.8683442742523705,0.9022741241548863,0.8279084756687077,0.8634931305407336
Linear SVM,0.9018964259664478,0.9045922086336762,0.8998549790525298,0.9022173754998183
